,name,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes
2021-22,Kofi Cockburn,6.6,22,3.0,27,9.3,big-ten,2.0,25.6,201,1.8,0.593,381,0.593,226,0.533,203,0.655,133,28,28,,859,7.4,12.8,95,3.5,67,32.1,kofi-cockburn-1,585,511.0,Center,1.6,23,illinois,0.0,0,,0,19.4,296,0.613,12.0,65,381,0.593,226,32.0,,5.3,0.247
2021-22,Alfonso Plummer,7.1,35,0.0,0,4.7,big-ten,0.4,7.7,70,1.0,0.559,363,0.424,154,0.24,87,0.874,76,33,29,,995,4.3,1.3,11,2.8,52,16.2,alfonso-plummer-1,482,399.0,Guard,0.6,10,illinois,0.661,240,0.408,98,4.6,81,0.596,9.6,43,123,0.455,56,22.8,,3.7,0.15
2021-22,Trent Frazier,21.8,126,0.4,4,5.6,big-ten,3.0,7.1,70,1.4,0.5,305,0.397,121,0.216,66,0.833,55,31,30,,1076,2.5,1.8,17,2.2,62,14.7,trent-fraizer-1,360,374.0,Guard,2.2,41,illinois,0.63,192,0.328,63,4.6,87,0.535,14.1,55,113,0.513,58,18.4,,3.6,0.135
2021-22,Jacob Grandison,17.9,69,0.6,5,7.0,big-ten,2.0,12.0,82,0.9,0.578,224,0.455,102,0.152,34,0.824,28,30,23,,751,5.0,5.1,33,2.1,52,17.1,jacob-grandison-1,287,280.0,Guard,0.8,10,illinois,0.598,134,0.41,55,8.6,115,0.598,13.4,37,90,0.522,47,18.7,,3.0,0.159
2021-22,Coleman Hawkins,14.8,50,2.6,17,6.1,big-ten,4.2,16.4,94,1.2,0.503,154,0.442,68,0.39,60,0.65,39,33,14,,627,1.9,8.7,47,0.9,62,16.1,coleman-hawkins-1,194,212.0,Forward,2.4,26,illinois,0.422,65,0.292,19,12.7,141,0.532,19.8,45,89,0.551,49,18.4,,2.1,0.133
2021-22,Andre Curbelo,31.7,60,0.5,2,-1.7,big-ten,1.7,14.0,47,0.6,0.349,149,0.329,49,0.342,51,0.745,38,19,4,,367,-3.4,3.5,11,-0.4,44,8.6,andre-curbelo-1,142,163.0,Guard,2.2,14,illinois,0.228,34,0.176,6,8.9,58,0.41,23.4,53,115,0.374,43,31.2,,0.2,0.025
2021-22,Da'Monte Williams,14.1,81,1.1,11,4.3,big-ten,4.0,15.1,131,1.5,0.4,140,0.307,43,0.229,32,0.531,17,33,30,,949,0.3,4.0,33,0.6,57,8.9,demonte-williams-1,129,172.0,Guard,1.7,27,illinois,0.571,80,0.325,26,9.7,164,0.416,16.2,30,60,0.283,17,9.9,,2.1,0.087
2021-22,RJ Melendez,16.2,15,1.5,3,11.5,big-ten,4.0,16.4,28,0.3,0.657,51,0.569,29,0.392,20,0.85,17,22,1,,187,7.5,5.6,9,0.7,12,24.2,rj-melendez-1,84,78.0,Guard,1.9,6,illinois,0.294,15,0.6,9,11.1,37,0.694,14.2,10,36,0.556,20,19.1,,1.0,0.222
2021-22,Omar Payne,3.8,5,9.7,24,1.5,big-ten,5.8,15.7,34,0.5,0.618,34,0.618,21,0.824,28,0.536,15,32,3,,237,-4.4,9.3,19,0.2,58,12.1,omar-payne-1,57,58.0,Forward,0.7,3,illinois,0.0,0,,0,12.6,53,0.603,27.6,18,34,0.618,21,14.0,,0.6,0.107
2021-22,Luke Goode,10.4,15,1.5,4,2.9,big-ten,1.7,14.5,33,0.3,0.473,55,0.327,18,0.109,6,0.667,4,28,0,,249,1.2,7.5,16,0.3,24,9.8,luke-goode-1,56,62.0,Guard,0.2,1,illinois,0.782,43,0.372,16,11.1,49,0.484,13.5,9,12,0.167,2,13.6,,0.6,0.101
